Name,Elevation_meters,Latitude,Longitude
Mount Kanpū [ja],355,39.93,139.88
Mount Kirigamine,1925,36.103,138.196
Mount Komochi,1296,36.591,138.998
Mount Kurohime,2053,36.817,138.12
Kurofuji Volcano Group,1642,35.803,138.536
Mount Kurikoma [ja],1628,38.95,140.78
Mount Kusatsu-Shirane,2160,36.619,138.535
Mount Onoko [ja],1208,36.581,138.937
Mount Madarao [ja],1382,36.837,138.274
Mount Minakami [ja],659,36.554,138.222
Megata,291,39.95,139.73
Mount Moriyoshi [ja],1454,39.977,140.544
Mount Mutsu-Hiuchi,781,41.439,141.052
Mount Myōkō,2446,36.891,138.113
Mount Naeba,2145,36.836,138.684
Mount Nanashigure [ja],1063,40.069,141.106
Mount Nantai,2484,36.768,139.486
Narugo Caldera,462,38.73,140.73
Mount Nasu,1917,37.12,139.97
Mount Nekoma,1404,37.615,140.016
Mount Niigata-Yakeyama,2400,36.92,138.036
Mount Nikkō-Shirane,2578,36.798,139.376
Mount Nyōhō-Akanagi,2483,36.811,139.536
Mount Norikura,3026,36.106,137.55
Numazawa [ja],1100,37.454,139.572
Oki-Dōgo,151,36.181,133.324
Mount Omanago [ja],2376,36.796,139.507
Mount Ontake,3063,35.89,137.48
Mount Osore,879,41.32,141.08
Mount Sanbe [ja],1126,35.13,132.62
Mount Shiga [ja],2041,36.7,138.52
Mount Sukai,2144,36.689,139.337
Mount Takahara [ja],1795,36.9,139.78
Mount Takara,350,35.346,134.919
Mount Takayashiro [ja],1351,36.799,138.403
Tokachidake Volcano Group,2077,43.418,142.686
Towada Caldera,1159,40.47,140.92
Washiba-Kumontaira,2924,36.408,137.594
Mount Yake,2455,36.226,137.587
Mount Yakeishi,1548,39.164,140.829
Mount Zaō,1841,38.15,140.45
Aogashima,423,32.45,139.77
Bayonnaise Rocks,11,31.888,139.918
Hachijōjima,854,33.13,139.77
Izu-Ōshima,758,34.726,139.394
Kōzushima,574,34.22,139.15
Kurose,-110,33.4,139.68
Mikurajima,851,33.871,139.605
Miyakejima,813,34.086,139.526
Myōjinshō (A.K.A. Myojin Reef),-50,31.918,140.021
Niijima,432,34.37,139.27
Sofugan (A.K.A. Lot's Wife),99,29.793,140.342
Sumisujima (A.K.A. Smith Rocks),136,31.439,140.05
Toshima,508,34.52,139.28
Torishima (A.K.A. Izu-Torishima),394,30.484,140.302
Nishinoshima,142,27.274,140.877
Fukutoku-Okanoba,-25,24.28,141.485
Fukujin Seamount [ja],-43,21.767,143.717
Funka Asane,-20,25.455,141.238
Kita-Iōjima (North Iwo Jima),792,25.43,141.28
Iōjima (Iwo Jima),161,24.781,141.315
Kaitoku Seamount,-103,26.127,141.098
Kaikata Seamount,-165,26.667,140.929
Kasuga Seamount,-598,22.767,142.717
Kita-Fukutokutai,-55,24.414,141.419
Minami-Hiyoshi Seamount [ja],-30,23.5,141.935
Nikkō Seamount [ja],-612,23.083,142.3
Mokuyō Seamount,-920,28.317,140.566
Suiyo Seamount,-1418,28.6,140.633
Mount Aso(A.K.A. Aso Caldera),1592,32.881,131.106
Fukue Volcano Group,315,32.653,128.861
Mount Futago (ja),720,33.583,131.601
Ibusuki Volcanic Field [ja],922,31.22,130.57
Ikeda (Part of Ibusuki Volcanic Field),256,31.235,130.564
Imuta,509,31.822,130.461
Mount Kaimon,922,31.18,130.528
Mount Kinbō (Kinpō),665,32.814,130.639
Mount Kirishima,1700,31.931,130.864
Mount Kujū,1791,33.083,131.251
Sakurajima,1117,31.585,130.657
Ojikajima Volcano Group,111,33.201,129.063
Mount Takasaki [ja],628,33.252,131.524
Mount Tara [ja],1076,32.974,130.071
Mount Tsurumi and Mount Garan,1584,33.28,131.432
Mount Unzen,1500,32.757,130.294
Mount Yufu,1583,33.282,131.39
Akusekijima,586,29.45,129.6
Gajajima,497,29.903,129.541
Kogajajima,301,29.879,129.625
Iōtorishima,212,27.877,128.224
Kikai Caldera,704,30.789,130.308
Kuchinoshima,628,29.967,129.924
Kuchinoerabujima,649,30.43,130.22
Nakanoshima,979,29.859,129.856
Suwanosejima,799,29.638,129.714
Yokoatejima,495,28.799,128.996
