festival,lugar,fecha_inicio,fecha_fin,duracion,cod_postal,latitud,longitud,provincia,localidad,artistas,estilos,enlace_foto,cartel_peq,gratuito,habitantes,tamaño_localidad,mes,costa,comunidad_autonoma,electronica,indie,rock,pop
No Future Fest 2023 (Vol.5),Sala la Mirona,2023-05-20,2023-05-20,1,17190,41.968265,2.773426,Girona,Salt,"['The Exploited', 'Discharge', 'The Professionals', 'One Way System', 'Subhumans']","['rock', 'punk', 'punk rock']",https://fanmusicfest.b-cdn.net/sites/default/files/305933881_585107209804839_7578664064123819700_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel%20no%20future%20fest%202022.jpg?itok=xPqbF8fR,False,32517,10K - 50K,Mayo,True,Cataluña,False,False,True,False
Sonidos Líquidos 2023 - Malvasía Volcánica Weekend,Bodegas La Geria,2023-06-09,2023-06-10,2,35570,28.969307,-13.714773,Las Palmas,La Geria,"['Depedro', 'Arde Bogotá', 'Drûpe']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/screenshot_2023-02-14_10.51.00.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fb_img_1654067601803.jpg?itok=XK4jOhEa,False,16924,10K - 50K,Junio,True,Canarias,False,True,True,True
Locos por la Música 2023 (Fuengirola),Marenostrum Fuengirola,2023-07-29,2023-07-29,1,29640,36.524777,-4.628699,Málaga,Fuengirola,"['Melón Diesel', 'No Me Pises Que Llevo Chanclas', 'La Guardia']","['rock', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/330599250_1891495007868916_4838311643216017939_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275616183_131817886043800_1062467610187336169_n.jpeg?itok=q6fW4V_B,False,83226,50K - 100K,Julio,True,Andalucía,False,False,True,True
A Summer Story 2023,Ciudad del Rock,2023-06-23,2023-06-24,2,28500,40.25965,-3.405805,Madrid,Arganda del Rey,"['Armin van Buuren', 'Don Diablo', 'DJ Nano', 'Fatima Hajji', 'I Hate Models', 'Vini Vici', 'Wade', 'Coone', 'Fedde le Grand', 'Fisher', 'Wildstylez', '2Lovers', 'Clara Cuvé', 'Dgrace', 'Klangkuenstler', 'Miguel Bastida', 'Nico Moreno', 'Shlømo', 'Trym']","['electronic', 'techno', 'house', 'dance', 'EDM']",https://fanmusicfest.b-cdn.net/sites/default/files/337405474_1152581658749139_8858099514722620262_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/a_summer.jpg?itok=gF-iSYS_,False,57553,50K - 100K,Junio,False,Madrid,True,False,False,False
Love To Rock 2023 (Valencia),La Marina de Valencia,2023-10-13,2023-10-14,2,46001,39.461771,-0.319321,Valencia,Valencia,"['Quique González', 'Cariño', 'Joe Crepúsculo', 'Second', 'Shinova', 'Anabel Lee', 'Jimena Amarillo', 'Ley DJ', 'Los Invaders', 'The Levitants']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/337564051_1591650467906957_6388973074096605225_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/screenshot_2022-08-05-15-42-22-01_1c337646f29875672b5a61192b9010f9.jpg?itok=VuW-5pq2,False,792492,500K - 1M,Octubre,True,Comunidad Valenciana,False,True,True,True
A Candeloria 2023,Pazo de Ferias y Congresos,2023-03-04,2023-03-04,1,27004,43.003404,-7.568502,Lugo,Lugo,"['Soziedad Alkoholika', 'Boikot', 'Lendakaris Muertos', 'Dakidarría', 'La Duendeneta', 'Me Fritos And The Gimme Cheetos', 'SonDaRúa', 'Tribade']","['rock', 'punk', 'hip-hop', 'rap', 'ska']",https://fanmusicfest.b-cdn.net/sites/default/files/326257363_5888843677839524_898241669080011005_n.jpeg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel%20a%20candeloria%202019_1.jpg?itok=ZIQe8Grm,False,97211,50K - 100K,Marzo,True,Galicia,False,False,True,False
Full Metal Holiday 2023 (Destination Mallorca),Hotel Iberostar Club Cala Barca,2023-10-09,2023-10-16,8,07691,39.353705,3.199929,Islas Baleares,Mallorca,"['Brainstorm', 'Doro', 'Saltatio Mortis', 'Sodom', 'The Answer']","['rock', 'metal', 'heavy metal', 'hard rock', 'thrash metal']",https://fanmusicfest.b-cdn.net/sites/default/files/full_cartel.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/301007156_602354161484445_3050943318989958656_n.jpg?itok=oILTPSgx,False,12321,10K - 50K,Octubre,True,Islas Baleares,False,False,True,False
F.E.A Festival 2023 (10º Aniversario),La Capsa],2023-01-21,2023-01-21,1,08820,41.329773,2.102823,Barcelona,El Prat de Llobregat,"['Alma-X', 'Barcelona 82', 'Brigitte Laverne', 'Carlos Bayona Dj', 'Josep Xortó & The Congosound', 'Sin Bragas']","['indie', 'dj', 'electro pop']",https://fanmusicfest.b-cdn.net/sites/default/files/305202783_578812523930528_7411430437098361011_n_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/320777_10151371034460684_92689942_n.jpg?itok=JW27LA7M,False,65030,50K - 100K,Enero,True,Cataluña,False,True,False,True
NEU! Festival 2022/2023,Varias localizaciones,2022-11-26,2023-01-28,64,17001,41.978667,2.821228,Girona,Girona,"['Carolina Durante', 'Mishima', 'Chaqueta de Chándal', 'Ferran Palau', 'Marialluïsa', 'Rufus T. Firefly', 'B1N0', ""L'Hereu Escampa"", 'Aliment', 'Amaia Miranda', 'Ernest Crusats', 'Maria Hein', 'Tarta Relena', 'Xebi SF', 'Xicu']","['indie', 'pop', 'folk', 'singer-songwriter']",https://fanmusicfest.b-cdn.net/sites/default/files/313097159_524544933012092_432842862658344588_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel%20NEU%21%20Festival%202021_0.jpg?itok=erkjpvmc,False,102666,100K - 500K,Noviembre,True,Cataluña,False,True,False,True
Mallorca Live Nights 2022/2023,Es Gremi,2022-09-10,2023-02-25,169,07009,39.596959,2.670107,Islas Baleares,Palma de Mallorca,"['Alice Wonder', 'Dani Fernández', 'Morgan', 'Quique González', 'Rufus T. Firefly', 'Baiuca', 'Delaporte', 'Depedro', 'Babasónicos']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/nights.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/338005579_142457722100527_3527402995452486351_n.jpg?itok=Sf5rUff8,False,415940,100K - 500K,Septiembre,True,Islas Baleares,False,True,False,True
