festival,lugar,fecha_inicio,fecha_fin,duracion,cod_postal,latitud,longitud,provincia,localidad,artistas,estilos,enlace_foto,cartel_peq,gratuito,habitantes,tamaño_localidad,mes,costa,comunidad_autonoma,electronica,indie,rock,pop
Festival Millenni 2023,Varias localizaciones,2023-01-21,2023-12-30,344,08001,41.387579,2.175304,Barcelona,Barcelona,"['Fito y Fitipaldis', 'Hombres G', 'Amaia', 'Carlos Núñez', 'Vanesa Martín', 'Funambulista', 'Natalia Lacunza', 'Salvador Sobral', '_juno', 'Ainhoa Arteta', 'Begoña Alberdi', 'Ernest Crusats', 'Perotá Chingó', 'Xiula']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/captura_de_pantalla_2023-01-16_a_las_13.23.06.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/Captura%20de%20pantalla%202022-02-03%20a%20las%2012.58.04.png?itok=dv566V44,False,1636193,1M - 2M,Enero,True,Cataluña,False,True,True,True
Lovin Ibiza Festival 2023,Lío Ibiza,2023-04-28,2023-04-30,3,07800,38.913852,1.443275,Islas Baleares,Eivissa,sin artistas,"['dj', 'techno', 'house']",https://fanmusicfest.b-cdn.net/sites/default/files/screenshot_2023-03-03_12.02.01.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278335591_4927752400607656_5723136713850409398_n.jpg?itok=ARm5ed2A,False,50715,50K - 100K,Abril,True,Islas Baleares,False,False,False,False
IMS Dalt Vila 2023,"['Baluarte de Santa Lucía', 'Dalt Vila']",2023-04-28,2023-04-28,1,07800,38.908434,1.438789,Islas Baleares,Ibiza,"['CamelPhat', 'Ida Engberg', 'Kölsch', 'Pete Tong', 'ANNA', 'Jaguar', 'Marshall Jefferson', 'Jellybean Benitez', 'Layla Benitez', 'TAAHLIAH']","['electronic', 'techno', 'house', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/ims_social_assets_email.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/277891904_1037958413457282_3680554989725945516_n.jpg?itok=Ra0XQcON,False,50715,50K - 100K,Abril,True,Islas Baleares,True,False,False,False
DarkMAD 2023,Autocine,2023-04-29,2023-04-30,2,28001,40.486224,-3.677802,Madrid,Madrid,"['The Human League', 'Ana Curra', 'Blac Kolor', 'Pink Turns Blue', 'The Arch', 'The Juggernauts', 'Christian Wünsch', 'Cold Cave', 'DJ Paradroid', 'David El Niño', 'James Rays Gangwar', 'Karl Hefner & Hugh Lagerfeld', 'Lene Lovich Band', 'Psyche', 'Then Comes Silence', 'Charly Sodiaz', 'Francistein & Accelerated Corrosion', 'Jihad', 'Mortaja', 'Sigue Sigue Sputnik']","['electro', 'post-punk', 'industrial', 'gothic metal', 'gothic rock']",https://fanmusicfest.b-cdn.net/sites/default/files/315992081_1189765068277682_835639646412330645_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel%20dark%20mad.jpg?itok=u018vS3X,False,3280782,2M - 3.2M,Abril,False,Madrid,False,False,True,False
Tv Hardcore Festival 2023,Family Club,2023-04-29,2023-04-29,1,45100,0.0,0.0,Toledo,Sonseca,"['Hardsuel', 'Pawlowski', 'DXPE', 'Dvrk Oktopus', 'Emeikeiou', 'Greensequence', 'MD&A', 'Malcrio', 'Marc Acardipane', 'Not a DJ', 'Ophidian', 'Predator', 'Tinni', 'Totti', 'VCL', 'Vandal!sm', 'X&Trick']","['techno', 'hardcore', 'hardstyle']",,,,11084,10K - 50K,Abril,False,Castilla-La Mancha,False,False,False,False
Valencia Flow Fest 2023,La 3 park,2023-05-06,2023-05-07,2,46012,39.410957,-0.334871,Valencia,Pinedo,"['Ojete Calor', 'Mueveloreina', 'Rocío Sáiz', 'Kika Lorace', 'Roi Porto', 'Binomio', 'DJ Jonatan Tamayo', 'GSP']","['pop', 'electronic', 'techno', 'house']",https://fanmusicfest.b-cdn.net/sites/default/files/321370880_707812034172532_7392470603200700691_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279269763_3002932643352886_7279206244728600966_n.png?itok=C304dVhF,False,792492,500K - 1M,Mayo,True,Comunidad Valenciana,True,False,False,True
Ritmo Festival 2023,Paraje Natural Ermita de los Tres Juanes,2023-05-12,2023-05-13,2,18230,37.23618,-3.687694,Granada,Atarfe,"['Erol Alkan', 'JackWasFaster', 'Javi Redondo', 'Local Suicide', 'Andre VII', 'Audrey Danza', 'Baldo', 'Belaria', 'Chinaski', 'Cobertizo', 'Dalila', 'Daniel Kelsan', 'Durand', 'Identified Patient', 'Interstellar Funk', 'Naone', 'Oma Totem', 'Rey Colino', 'Sama Yax', 'UNDO', 'Masa Soundsystem']","['electronic', 'indie pop']",https://fanmusicfest.b-cdn.net/sites/default/files/ritmo.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/277460173_2195781007238246_2523592211994273355_n.jpg?itok=UT6aVSAZ,False,19452,10K - 50K,Mayo,True,Andalucía,True,True,False,True
Festival Días de Campo 2023,Polideportivo Municipal,2023-05-19,2023-05-21,3,12448,40.074435,-0.52662,Castellón,Montanejos,sin artistas,"['electronic', 'dj']",https://fanmusicfest.b-cdn.net/sites/default/files/poster_ddc_1080x1350-2_mesa-de-trabajo-1-scaled.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275512581_152423453844857_5806746502865295823_n.jpg?itok=t0L24vQK,False,553,0 - 5K,Mayo,True,Comunidad Valenciana,True,False,False,False
Molan los 90 Zaragoza 2023,Parque Deportivo Ebro,2023-05-20,2023-05-20,1,50011,41.667911,-0.922852,Zaragoza,Zaragoza,"['Kate Ryan', 'Eva Martí', 'Marian Dacal', 'Sensity world', 'Viceversa', 'Alex & Giro', 'New Limit', 'Sonia Madoc', 'Dj Xavi in Session']","['electronic', 'dj', 'dance']",,,,673010,500K - 1M,Mayo,False,Aragón,True,False,False,False
Love the 90’s Valencia 2023,Ciudad de Las Artes y Las Ciencias,2023-06-03,2023-06-03,1,46001,39.454884,-0.350533,Valencia,Valencia,sin artistas,"['electronic', 'dj', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/header-desktop-2560-800-valencia.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/love_3.jpg?itok=gzXmPjgZ,False,792492,500K - 1M,Junio,True,Comunidad Valenciana,True,False,False,False
Homenaje a la Ruta 90's & 2MIL Benidorm 2023,Auditorio Julio Iglesias,2023-06-10,2023-06-10,1,03501,38.542334,-0.130211,Alicante,Benidorm,['Kate Ryan'],"['electronic', 'dj', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/kate.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cover1.jpg?itok=q55QM3a6,False,69738,50K - 100K,Junio,True,Comunidad Valenciana,True,False,False,False
Sónar 2023,Sónar de día - Fira Montjuïc,2023-06-15,2023-06-17,3,08001,41.372491,2.153574,Barcelona,Barcelona,"['Aphex Twin', 'Fever Ray', 'Richie Hawtin', 'Amelie Lens', 'Bad Gyal', 'Black Coffee', 'Laurent Garnier', 'Oneohtrix Point Never', 'Peggy Gou', 'Solomun', 'The Blessed Madonna', 'Alizzz', 'Bicep', 'Honey Dijon', 'Marcel Dettmann', 'Max Cooper', 'Samantha Hudson', '700 Bliss', '8kitoo', 'Ahadadream', 'Aines', 'Alba G. Corral', 'Albany', 'Amor Satyr', 'Anz']","['electronic', 'dj', 'experimental', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/1669895579461-sonar_line_up_2023.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/327199208_188781280466550_5475188666304337642_n.jpg?itok=-0_6oXbQ,False,1636193,1M - 2M,Junio,True,Cataluña,True,False,False,False
OFFSónar 2023,Poble Espanyol,2023-06-15,2023-06-18,4,08001,41.368544,2.148258,Barcelona,Barcelona,sin artistas,"['electronic', 'dj', 'techno', 'house', 'electro']",https://fanmusicfest.b-cdn.net/sites/default/files/315713715_8261167203953801_6959820274396170047_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275604171_700743747777679_6731724823096441891_n.jpg?itok=2LWgRE7f,False,1636193,1M - 2M,Junio,True,Cataluña,True,False,False,False
O Son do Camiño 2023,Parque Monte Do Gozo,2023-06-15,2023-06-17,3,15820,42.886102,-8.496831,A Coruña,Santiago de Compostela,sin artistas,"['rock', 'indie', 'pop', 'electronic', 'indie pop']",https://fanmusicfest.b-cdn.net/sites/default/files/f90d9dd6-3479-10e8-9bd4-4dd42619b4f7.jpeg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275107232_276359301167899_6842642503324876225_n.jpg?itok=T8nMsamV,False,98179,50K - 100K,Junio,True,Galicia,True,True,True,True
OffWeek Festival 2023,Parc del Fòrum,2023-06-16,2023-06-17,2,08930,41.41145,2.22456,Barcelona,San Adrián del Besós,"['Dennis Cruz', 'Jamie Jones', 'Joseph Capriati', 'Tale Of Us', 'The Martinez Brothers', 'Cassy', 'Chris Stussy', 'Michael Bibi', 'Pawsa', 'Reelow', 'Silvie Loto']","['techno', 'house', 'electro', 'idm', 'disco']",https://fanmusicfest.b-cdn.net/sites/default/files/solid_grooves_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel_offweek_2022.jpg?itok=MwQ1DoIx,False,36918,10K - 50K,Junio,True,Cataluña,False,False,False,False
Animal Sound Festival 2023,Recinto Ferial La Fica,2023-06-16,2023-06-17,2,30001,37.983615,-1.109834,Murcia,Murcia,"['Natos y Waor', 'Eladio Carrión', 'Costa', 'Israel B', 'Selecta']","['electronic', 'hip-hop', 'techno', 'house', 'rap']",https://fanmusicfest.b-cdn.net/sites/default/files/315637431_3326745944257997_9162893473793433744_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/280601062_3180313238901269_7553521525441921607_n.jpg?itok=b2pZF8KS,False,462979,100K - 500K,Junio,True,Murcia,True,False,False,False
Love the 90’s Madrid 2023,IFEMA - Feria de Madrid,2023-06-17,2023-06-17,1,28001,40.467454,-3.616905,Madrid,Madrid,"['Amistades Peligrosas', 'Azúcar Moreno', 'Carlos Segarra', 'Chimo Bayo', 'Javier Andreu', 'King África', 'La Guardia', 'Locomía', 'Los Inhumanos', 'Los Secretos', 'Modestia Aparte', 'OBK', 'Rebeca', 'Safri Duo', 'Seguridad Social', 'Zapato Veloz', 'Daisy Dee de Technotronic', 'Double Vision', 'Jumper Brothers', 'Marian Dacal', 'Marilia Andrés', 'Miguel Costas de Siniestro Total', 'Sensity world', '2 Eivissa', 'Aqua']","['pop', 'electronic', 'electro', 'dance', 'rumba']",https://fanmusicfest.b-cdn.net/sites/default/files/327283899_716359753198021_2970732468425197716_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/love_3.jpg?itok=gzXmPjgZ,False,3280782,2M - 3.2M,Junio,False,Madrid,True,False,False,True
Love the Tuenti's 2023,IFEMA. Feria de Madrid,2023-06-24,2023-06-24,1,28001,40.464254,-3.61639,Madrid,Madrid,"['Kate Ryan', 'King África', 'Abel The Kid', 'Cascada', 'Eva Martí', 'Jumper Brothers', 'Malena Gracia', 'Marian Dacal', 'Alexandra Stan', 'Anneke van Hooff', 'Astroline', 'DEE DEE', 'Damae', 'Dj Marta', 'Efecto Mariposa', 'Evi Goffin', 'Guaraná', 'Jessy', 'Joysi Love', 'K-Narias', 'Kiko & Shara', 'La Luna', 'Linda Mertens', 'Nanín', 'Orion Too']","['pop', 'latin', 'electro', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/335274828_3245853005726479_952434852174729116_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/love_the_tuientis.png?itok=IwAknotd,False,3280782,2M - 3.2M,Junio,False,Madrid,False,False,False,True
Ultra Beach Costa del Sol 2023,Marenostrum Fuengirola,2023-06-24,2023-06-24,1,29640,36.524777,-4.628699,Málaga,Fuengirola,"['Martin Garrix', 'Wade', 'Vintage Culture']","['electronic', 'dj', 'techno', 'house', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/329242749_940302883703041_6413349833739889403_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fb_img_1654166198434.jpg?itok=bTOiNZKf,False,83226,50K - 100K,Junio,True,Andalucía,True,False,False,False
Holika Festival 2023,Complejo Deportivo Municipal La Planilla,2023-06-29,2023-07-01,3,26500,42.297183,-1.95797,La Rioja,Calahorra,"['Eladio Carrión', 'Justin Quiles', 'Mora', 'Chimbala', 'Tokischa', 'Ryan Castro', 'Al Safir', 'Alex Martini', 'Alexander Som', 'Alvama Ice', 'Ambkor', 'Andrés Campo', 'Arce', 'Ballesteros', 'Blondex', 'Bárbara Lago', 'Cano', 'Carla Frigo', 'Chris Daniel', 'Cris Ocaña', 'Darío Nuñez', 'Dok & Martin', 'Emilia', 'Essan', 'Ezvit810']","['dj', 'hip-hop', 'techno', 'house', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/captura_desde_2023-02-09_23-01-35.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275157230_1305708929840287_5172594639218754325_n.jpg?itok=qLPSxpWd,False,24654,10K - 50K,Junio,False,La Rioja,False,False,False,False
Maudes Festival 2023,IFEMA,2023-06-30,2023-07-01,2,28001,40.467845,-3.617305,Madrid,Madrid,"['Paul Kalkbrenner', '999999999']","['electronic', 'dj', 'techno', 'house', 'club']",https://fanmusicfest.b-cdn.net/sites/default/files/333744068_1163714967661655_5260324228488592156_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/flyer_cuadrado.jpg?itok=rOux4ybB,False,3280782,2M - 3.2M,Junio,False,Madrid,True,False,False,False
Weekend Beach Festival 2023,Playa de Poniente,2023-07-05,2023-07-08,4,29740,36.732061,-4.099714,Málaga,Torre del Mar,"['Maluma', 'Editors', 'Fangoria', 'Joris Voorn', 'La Casa Azul', 'Mala Rodríguez', 'SFDK', 'Carl Craig', 'Dani Fernández', 'Dellafuente', 'Kiko Veneno', 'Marc Seguí', 'Sidecars', 'Tarrus Riley', 'Alisha', 'Delaossa', 'Doctor Explosión', 'Fatima Hajji', 'Héctor Oaks', 'Morgan', 'Mr. Kilombo', 'Nic Fanciulli', 'Sunnery James & Ryan Marciano', 'Tu Otra Bonita', ""We Are Not Dj's""]","['rock', 'pop', 'electronic', 'hip-hop', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/weekend_cartel_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fb_img_1654168782549.jpg?itok=K6PDpaZU,False,83899,50K - 100K,Julio,True,Andalucía,True,False,True,True
Homenaje a la Ruta 90's & 2MIL Valencia 2023,La Marina de Valencia,2023-07-08,2023-07-08,1,46001,39.461478,-0.329933,Valencia,Valencia,sin artistas,"['electronic', 'dj', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/cover1.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/kate.jpg?itok=N9XfwYAP,False,792492,500K - 1M,Julio,True,Comunidad Valenciana,True,False,False,False
FIB 2023,Benicàssim,2023-07-13,2023-07-16,4,12560,40.048068,0.047872,Castellón,Benicássim,"['Franz Ferdinand', 'Bastille', 'The Offspring', 'Vetusta Morla', 'Crystal Fighters', 'Kaiser Chiefs', 'Zara Larsson', '2manydjs', 'Iván Ferreiro', 'La M.O.D.A.', 'Orbital', 'Sidonie', 'The Wombats', 'Tom Odell', 'Viva Suecia', 'Amaia', 'Belako', 'Clean Bandit', 'Depedro', 'Ginebras', 'La Casa Azul', 'Rojuu', 'Rufus T. Firefly', 'Rusowsky', 'Second']","['rock', 'indie', 'pop', 'electronic', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/333697596_587139449955907_4398468374471032197_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/untitled_3.png?itok=hjL2Gbf0,False,19507,10K - 50K,Julio,True,Comunidad Valenciana,True,True,True,True
Fan Futura Fest 2023,Polideportivo San Javier,2023-07-28,2023-07-29,2,30730,37.810538,-0.829017,Murcia,San Javier,"['Delaossa', 'Belén Aguilera', 'Cupido', 'La Zowi', 'Mora', 'Rusowsky', 'Chico Blanco (DJ Set)', 'Gloosito', 'Choclock', 'Daniel Sabater', 'Joven Myke', 'Kabasaki', 'MDA', 'Marss', 'Taao', 'YSY A', 'Yosef the Soul', 'trashi']","['indie', 'pop', 'electronic', 'hip-hop', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/331910004_3438247306451192_1519429641172934742_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fan.jpg?itok=NVwF0JC8,False,34468,10K - 50K,Julio,True,Murcia,True,True,False,True
Monegros Desert Festival 2023,Desierto de los Monegros,2023-07-29,2023-07-29,1,22520,41.524747,0.125433,Huesca,Fraga,"['Fernandocosta', 'Iseo & Dodosound', 'Oscar Mulero', 'Pendulum', 'Richie Hawtin', '999999999', 'Amelie Lens', 'Ben Sims', 'Ill Pekeño & Ergo Pro', 'Paco Osuna', 'Seth Troxler', 'Vintage Culture', 'Wu-Tang Clan', 'Adam Beyer', 'Dub Elements', 'Eats Everything', 'Héctor Oaks', 'I Hate Models', 'Ilario Alicante', 'ANNA', 'Alinka', 'Andrés Campo', 'Andy C', 'Anetha', 'Anfisa Letyago']","['electronic', 'dj', 'hip-hop', 'techno', 'house']",https://fanmusicfest.b-cdn.net/sites/default/files/336049528_1342151876630657_2425264448717577225_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/293160906_10159310256140787_8964807559940964069_n_0.jpg?itok=ItZL1PKs,False,15294,10K - 50K,Julio,False,Aragón,True,False,False,False
Loona Summer Festival 2023,Campo de Fútbol El Morche,2023-07-29,2023-07-29,1,29770,36.736859,-3.98882,Málaga,El Morche,"['Daviles de Novelda', 'Cano', 'Fabbio', 'Carmen de la Fuente', 'Vicman Romero & Mike Sildavia']","['electronic', 'dj', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/327036125_565348268814129_7973062983382811911_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/286699906_1006775966869472_4044265935985931666_n.jpg?itok=5nwnbFr9,False,19997,10K - 50K,Julio,True,Andalucía,True,False,False,False
Arenal Sound 2023,Playa el Arenal,2023-08-01,2023-08-06,6,12530,39.864638,-0.066583,Castellón,Burriana,sin artistas,"['indie', 'pop', 'electronic', 'hip-hop', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/338958148_623965962397509_6774878075419800288_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278240941_10159116499152428_1906764780371348422_n.jpg?itok=_D2N7RWt,False,27780,10K - 50K,Agosto,True,Comunidad Valenciana,True,True,False,True
Dreambeach Festival 2023,Playa de Villaricos (Cuevas del Almanzora),2023-08-09,2023-08-13,5,04616,37.246981,-1.773692,Almería,Almería,"['Armin van Buuren', 'Natos y Waor', 'The Prodigy', 'Carl Cox', 'Hardwell', 'Loco Dice', 'Deborah De Luca', 'Dellafuente', 'Hedex', 'I Hate Models', 'Morad', 'Andrea Oliva', 'Andrés Campo', 'Arodes', 'Brennan Heart', 'Brian Cross', 'Coone', 'DJ Gonçalo', 'Dub Elements', 'Hernan Cattaneo', 'Raúl Pacheco', 'Shlømo', 'Acraze', 'Alterminds', 'Aphase']","['electronic', 'hip-hop', 'techno', 'house', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/334366212_3248973738700788_8560964998543251203_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278078070_4834225060037104_375696103593454415_n.jpg?itok=ooXAJin9,False,199237,100K - 500K,Agosto,True,Andalucía,True,False,False,False
Medusa Sun Beach Festival 2023,Playa de Cullera,2023-08-09,2023-08-14,6,46400,39.153842,-0.242901,Valencia,Cullera,"['David Guetta', 'Amelie Lens', 'Angerfist', 'Dimitri Vegas & Like Mike', 'Don Diablo', 'Carl Cox', 'DJ Nano', 'Fatima Hajji', 'Marco Carola', 'Nervo', 'Oliver Heldens', 'Paco Osuna', 'Cuartero', 'DJs from Mars', 'Headhunterz', 'Klangkuenstler', 'Miss K8', 'Wade', 'Daria Kolosova', 'Dj Marta', 'Dj Neil', 'Etapp Kyle', 'Ferry Corsten', 'Francisco Allendes', 'Javi Boss']","['electronic', 'dj', 'techno', 'house', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/331288987_714614176885510_9222936023955054193_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/medusa_2.jpg?itok=PXmHlaxk,False,22937,10K - 50K,Agosto,True,Comunidad Valenciana,True,False,False,False
