Platform,Firm,Units Sold (M)
PlayStation 2,Sony,160.0
Nintendo DS,Nintendo,154.02
Nintendo Switch #,Nintendo,150.86
Game Boy & Game Boy Color,Nintendo,118.69
PlayStation 4 #,Sony,117.2
PlayStation,Sony,102.49
Wii,Nintendo,101.63
PlayStation 3,Sony,87.4
Xbox 360,Microsoft,84.0
Game Boy Advance,Nintendo,81.51
PlayStation Portable,Sony,80.0
Nintendo 3DS,Nintendo,75.94
PlayStation 5 #,Sony,74.9
Family Computer/Nintendo Entertainment System,Nintendo,61.91
Xbox One,Microsoft,58.0
Super Famicom/Super Nintendo Entertainment System,Nintendo,49.1
Nintendo 64,Nintendo,32.93
Xbox Series X/S #,Microsoft,28.3
Xbox,Microsoft,24.0
Nintendo GameCube,Nintendo,21.74
Wii U,Nintendo,13.56
PlayStation Vita,Sony,1015.0
Super NES Classic Edition,Nintendo,5.28
NES Classic Edition,Nintendo,3.56
Color TV-Game,Nintendo,3.0
